"name","lat","lon","event_name","attendance_count","yes_rsvp_count","group_name","event_datetime","link"
,,,"First Thursday Art Walk for Singles - Thurs Jan 3",59,59,"The San Francisco Singles Social Group (40s & 50s)","2008-01-03 17:30:00","https://www.meetup.com/SFSingles/"
,,,"Russell Peters, hilarious comedian",0,12,"20/30-Something South Bay Meetup","2008-01-13 17:00:00","https://www.meetup.com/20-30-Something/"
,,,"Salsa, Salsa!",0,10,"20/30-Something South Bay Meetup","2008-01-17 19:00:00","https://www.meetup.com/20-30-Something/"
,,,"Friday Night Jazz at the De Young Museum 1/18 for Singles",36,75,"The San Francisco Singles Social Group (40s & 50s)","2008-01-18 18:30:00","https://www.meetup.com/SFSingles/"
,,,"Argentina Tango Performance Outing with Singles 1/26",19,19,"The San Francisco Singles Social Group (40s & 50s)","2008-01-26 19:30:00","https://www.meetup.com/SFSingles/"
,,,"Bay Area Asian American late 20s/30s Singles Group December Meetup",0,3,"Awesome Asian Americans!!!","2008-01-31 19:00:00","https://www.meetup.com/AsiansAmericans/"
,,,"Make-Your-Own Body Scrubs and Bath Salts!",0,10,"20/30-Something South Bay Meetup","2008-02-01 19:00:00","https://www.meetup.com/20-30-Something/"
,,,"Let's SALSA!! Lessons are at 8pm on 2/9",19,20,"The San Francisco Singles Social Group (40s & 50s)","2008-02-09 19:30:00","https://www.meetup.com/SFSingles/"
,,,"SpeedDating for Busy Singles!!!!",33,34,"!Bay Area Fun Professionals and Friends!","2008-02-14 19:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Valentine's Day Party",49,49,"!Bay Area Fun Professionals and Friends!","2008-02-14 20:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Bay Area Asian American late 20s/30s Singles Group February Meeting",0,13,"Awesome Asian Americans!!!","2008-02-21 19:00:00","https://www.meetup.com/AsiansAmericans/"
,,,"Party Like A Rock Star*** @ Fahrenheit Lounge!!",20,20,"!Bay Area Fun Professionals and Friends!","2008-02-22 20:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Dinner In Bruges",0,31,"20/30-Something South Bay Meetup","2008-02-23 19:30:00","https://www.meetup.com/20-30-Something/"
,,,"Saturday Bowling",0,36,"20/30-Something South Bay Meetup","2008-06-21 18:30:00","https://www.meetup.com/20-30-Something/"
,,,"Abyss (after bowling)",0,7,"20/30-Something South Bay Meetup","2008-06-21 21:30:00","https://www.meetup.com/20-30-Something/"
"Make Out Room",37.75540542602539,-122.41932678222656,"Mortified - SF - 12/05/08 - 3 year anniv. - 'Best of'",30,30,"The San Francisco Singles Social Group (40s & 50s)","2008-12-05 19:00:00","https://www.meetup.com/SFSingles/"
,,,"Osha Thai Restaurant - Infusion Lounge - San Francisco",0,37,"Awesome Asian Americans!!!","2010-01-16 19:00:00","https://www.meetup.com/AsiansAmericans/"
,,,"MTB ride at the Briones Regional Park",0,1,"**Mingle with Travelers, Students, Au Pairs & Locals in SF**","2010-10-10 16:00:00","https://www.meetup.com/SanFranciscoHostel/"
,,,"Dance, Drink & Hang out 24/7 @ Zen Club Aka Buddha Lounge",11,10,"!Bay Area Fun Professionals and Friends!","2008-02-27 21:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Cinequest Film Fest - Opening Night",0,14,"20/30-Something South Bay Meetup","2008-02-27 18:15:00","https://www.meetup.com/20-30-Something/"
,,,"Let's SALSA!! Lessons are at 8pm on 3/1",17,23,"The San Francisco Singles Social Group (40s & 50s)","2008-03-01 19:30:00","https://www.meetup.com/SFSingles/"
,,,"Travis Sullivan's Björkestra",0,8,"20/30-Something South Bay Meetup","2008-03-06 18:30:00","https://www.meetup.com/20-30-Something/"
,,,"SpeedDating for Busy Singles!!!!",16,16,"!Bay Area Fun Professionals and Friends!","2008-03-07 19:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"PARTY LIKE A ROCK STAR**@ RUBY SKYE-SAN FRANCISCO!!!",14,14,"!Bay Area Fun Professionals and Friends!","2008-03-08 22:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Singles Dinner at a Persian Restaurant in San Francisco 3/18",30,26,"The San Francisco Singles Social Group (40s & 50s)","2008-03-18 19:00:00","https://www.meetup.com/SFSingles/"
,,,"Bay Area Asian American late 20s/30s Singles Group March Meeting",0,8,"Awesome Asian Americans!!!","2008-03-20 19:00:00","https://www.meetup.com/AsiansAmericans/"
"O Neils",37.567386627197266,-122.32443237304688,"Beer Club @ O'Neils San Mateo",4,4,"Happy Hour Club","2008-05-15 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Bay Area Asian American late 20s/30s Singles Group May Meeting",0,11,"Awesome Asian Americans!!!","2008-05-15 19:00:00","https://www.meetup.com/AsiansAmericans/"
,,,"Lets burn some of those T-Day Calories!",0,27,"20/30-Something South Bay Meetup","2008-12-08 19:00:00","https://www.meetup.com/20-30-Something/"
,,,"Fremont Afghan Foodie Experience ",0,5,"Awesome Asian Americans!!!","2010-10-10 18:00:00","https://www.meetup.com/AsiansAmericans/"
,,,"Kirkwood snowboarding trip",0,6,"Awesome Asian Americans!!!","2011-01-09 05:00:00","https://www.meetup.com/AsiansAmericans/"
"Legion of Honor",37.70856857299805,-122.44268798828125,"Singles Gathering - Legion of Honor: Annie Leibovitz 3/23",84,76,"The San Francisco Singles Social Group (40s & 50s)","2008-03-23 14:45:00","https://www.meetup.com/SFSingles/"
,,,"24/7 Wine Tasting Party!!!",63,63,"!Bay Area Fun Professionals and Friends!","2008-03-28 19:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"It's Wine and Snack time!",0,37,"20/30-Something South Bay Meetup","2008-03-29 13:00:00","https://www.meetup.com/20-30-Something/"
"Thep Lela ",37.88999938964844,-122.56999969482422,"Monday Night Dinner in Marin",8,8,"The San Francisco Singles Social Group (40s & 50s)","2008-03-31 19:00:00","https://www.meetup.com/SFSingles/"
,,,"Friday's Alive for Singles at Bay Meadows - Horse Racing",37,37,"The San Francisco Singles Social Group (40s & 50s)","2008-04-04 19:00:00","https://www.meetup.com/SFSingles/"
"Sinbad's Restaurant",37.79999923706055,-122.4000015258789,"San Francisco Waterfront Dance",4,4,"SF Bay Area Singles Events","2008-04-05 20:00:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"See the Olympic Torch Live!",0,7,"20/30-Something South Bay Meetup","2008-04-09 11:15:00","https://www.meetup.com/20-30-Something/"
"David's Restaurant",37.40420150756836,-121.97541809082031,"Spring Ball with optional Progressive Dinner",4,4,"SF Bay Area Singles Events","2008-04-11 20:00:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"Taverna Bistro/Hookah-Downtown Sunnyvale",19,19,"!Bay Area Fun Professionals and Friends!","2008-04-11 20:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"ROBOTS: Evolution of a Cultural Icon",0,23,"20/30-Something South Bay Meetup","2008-05-17 11:00:00","https://www.meetup.com/20-30-Something/"
"The Royal Exchange",37.794342041015625,-122.39896392822266,"Friday Happy Hour at The Royal Exchange",20,20,"Nob Hill, Russian Hill, North Beach, Pac Heights Happy Hours","2008-07-11 17:30:00","https://www.meetup.com/Nob-Russian-Pac-Heights-Happy-Hour/"
"Private Home",38.107421875,-122.5697021484375,"New Novato Mark Group",2,2,"Bay Area Mark Groups","2011-06-13 19:30:00","https://www.meetup.com/BayAreaMarkGroups/"
"Las Palmas Park",37.367183685302734,-122.03841400146484,"SouthBay Hai Singles event",6,6,"HAI Global: San Francisco","2008-04-12 19:00:00","https://www.meetup.com/hai-san-francisco/"
,,,"24/7 Sand Volleyball, Tennis, Football, Soccer Frisbee & Picnic!!",17,17,"!Bay Area Fun Professionals and Friends!","2008-04-12 12:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"XY Wine Tasting Party!!",27,27,"!Bay Area Fun Professionals and Friends!","2008-04-12 19:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Bowling & Broncos",0,42,"20/30-Something South Bay Meetup","2008-04-12 18:30:00","https://www.meetup.com/20-30-Something/"
,,,"RUNNING & WORKING OUT-BOOT CAMP!! ",1,1,"!Bay Area Fun Professionals and Friends!","2008-04-14 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"RUNNING & WORKING OUT-BOOT CAMP!! ",1,1,"!Bay Area Fun Professionals and Friends!","2008-04-15 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"RUNNING & WORKING OUT-BOOT CAMP!! ",1,1,"!Bay Area Fun Professionals and Friends!","2008-04-17 17:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Bay Area Asian American late 20s/30s Singles Group April Meeting",0,16,"Awesome Asian Americans!!!","2008-04-17 19:00:00","https://www.meetup.com/AsiansAmericans/"
,,,"Buddha Lounge Lingerie Party!!",0,0,"!Bay Area Fun Professionals and Friends!","2008-04-18 19:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Dip-Off Challenge",0,38,"20/30-Something South Bay Meetup","2008-04-19 19:00:00","https://www.meetup.com/20-30-Something/"
"Roe Night Club",37.78591537475586,-122.39940643310547,"YOUNG SINGLE PROFESSIONALS MIXER followed by Dance Party",2,2,"SF Bay Area Singles Events","2008-04-19 20:00:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"Sunday Bowling",0,54,"20/30-Something South Bay Meetup","2008-05-18 16:30:00","https://www.meetup.com/20-30-Something/"
,,,"24/7 Wine Tasting Party @ The Zen Lounge Aka Buddha Lounge",32,23,"!Bay Area Fun Professionals and Friends!","2008-04-25 19:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"24/7 Sand Volleyball, Tennis, Football, Soccer Frisbee & Picnic!!",14,11,"!Bay Area Fun Professionals and Friends!","2008-04-26 12:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"PARTY LIKE A ROCK STAR**@ RUBY SKYE-SAN FRANCISCO!!!",13,10,"!Bay Area Fun Professionals and Friends!","2008-04-26 22:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Singles Gathering at the Golden Gate Park Band 4/27",22,22,"The San Francisco Singles Social Group (40s & 50s)","2008-04-27 12:30:00","https://www.meetup.com/SFSingles/"
,,,"Tuesday Volleyball ",8,8,"!Bay Area Fun Professionals and Friends!","2008-04-29 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
"Golden Gate Yacht Club",37.80743408203125,-122.4444351196289,"Dance by the Bay with Buffet",1,1,"SF Bay Area Singles Events","2008-05-02 20:00:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"Chicago Pizz'a",0,52,"20/30-Something South Bay Meetup","2008-05-02 19:30:00","https://www.meetup.com/20-30-Something/"
,,,"Mexican Food after Bowling",0,18,"20/30-Something South Bay Meetup","2008-05-18 19:30:00","https://www.meetup.com/20-30-Something/"
"Cardiff Lounge",37.287052154541016,-121.9451675415039,"Join us for Get Down Party featuring DJ Dru Deep @ Cardiff Lounge",2,2,"!Bay Area Fun Professionals and Friends!","2009-03-10 22:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"24/7 Beach Day-CINCO De MAYO @ Santa Cruz-Volleyball & all Sports!",39,32,"!Bay Area Fun Professionals and Friends!","2008-05-03 12:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Pia's XY Wine Tasting Party!!",2,2,"!Bay Area Fun Professionals and Friends!","2008-05-03 19:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Sunday Brunch",0,6,"Awesome Asian Americans!!!","2008-05-04 11:30:00","https://www.meetup.com/AsiansAmericans/"
,,,"Winchester Mansion Mystery House",0,10,"20/30-Something South Bay Meetup","2008-05-04 10:00:00","https://www.meetup.com/20-30-Something/"
,,,"Tuesday Volleyball ",2,2,"!Bay Area Fun Professionals and Friends!","2008-05-06 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
"House of Shields",37.78830337524414,-122.40145111083984,"Beer Club @ House of Shields",10,10,"Happy Hour Club","2008-05-08 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Friday's Alive for Singles at Bay Meadows - Horse Racing",40,40,"The San Francisco Singles Social Group (40s & 50s)","2008-05-09 19:00:00","https://www.meetup.com/SFSingles/"
,,,"Horseback Riding @ Half Moon Bay",0,8,"20/30-Something South Bay Meetup","2008-05-10 08:00:00","https://www.meetup.com/20-30-Something/"
,,,"Tuesday Volleyball ",5,5,"!Bay Area Fun Professionals and Friends!","2008-05-13 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"4th Annual Asian Heritage Street Celebration",0,2,"Awesome Asian Americans!!!","2008-05-17 12:00:00","https://www.meetup.com/AsiansAmericans/"
"Memorial Park-Cupertino",37.32292556762695,-122.04659271240234,"Tuesday Volleyball ",4,4,"!Bay Area Fun Professionals and Friends!","2008-05-20 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Beer Club @ Tunnel Top Bar",2,2,"Happy Hour Club","2008-05-22 19:00:00","https://www.meetup.com/sfbeerclub/"
"Wyndham Hotel",37.349998474121094,-121.87999725341797,"Singles Convention and Dance",3,3,"SF Bay Area Singles Events","2008-05-23 19:30:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"The San Francisco Night Life May Meeting",0,4,"SF Fun & Outgoing SocialWised","2008-05-24 21:00:00","https://www.meetup.com/socialwisedSF/"
,,,"Hang Gliding Adventure!",0,10,"20/30-Something South Bay Meetup","2008-05-24 08:00:00","https://www.meetup.com/20-30-Something/"
,,,"Tuesday Volleyball ",10,10,"!Bay Area Fun Professionals and Friends!","2008-05-27 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Beer Club @ British Bankers Club",3,3,"Happy Hour Club","2008-05-29 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Led Zeppelin rock concert Tribute by NO Quarter @ Buddha Lounge",15,15,"!Bay Area Fun Professionals and Friends!","2008-05-29 19:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
"Zen Lounge Aka Buddha Lounge",37.393165588378906,-122.07933807373047,"24/7 Wine Party @ The Zen Lounge Aka Buddha Lounge",1,1,"!Bay Area Fun Professionals and Friends!","2008-05-30 19:30:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Beer Club @ Mission Bar",2,2,"Happy Hour Club","2008-06-19 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Dinner at Akiko",0,6,"SITC ▪ Singles in the City ▪ Born 1960>1979","2013-04-29 18:15:00","https://www.meetup.com/SITCSF/"
"The Center",37.7962532043457,-122.40345764160156,"Hai Singles Event: An Alternative to Dating as Usual",7,7,"HAI Global: San Francisco","2008-05-31 19:00:00","https://www.meetup.com/hai-san-francisco/"
,,,"Shooting Range - Anyone interested?",0,4,"20/30-Something South Bay Meetup","2008-05-31 10:15:00","https://www.meetup.com/20-30-Something/"
,,,"Rosicrucian Egyptian Museum & Planetarium",0,13,"20/30-Something South Bay Meetup","2008-05-31 13:00:00","https://www.meetup.com/20-30-Something/"
,,,"Tuesday Volleyball ",12,12,"!Bay Area Fun Professionals and Friends!","2008-06-03 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
"Kate O'Brien's",37.787200927734375,-122.39773559570312,"Beer Club @ Kate O'Brien's",3,3,"Happy Hour Club","2008-06-05 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Wines, Potluck, Bocci Balls & Beaches!",0,76,"20/30-Something South Bay Meetup","2008-06-07 11:30:00","https://www.meetup.com/20-30-Something/"
,,,"Indoor Skydiving!",0,5,"20/30-Something South Bay Meetup","2008-06-07 19:00:00","https://www.meetup.com/20-30-Something/"
,,,"Tuesday Volleyball ",7,7,"!Bay Area Fun Professionals and Friends!","2008-06-10 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Beer Club @ Ausiello's Belmont",4,4,"Happy Hour Club","2008-06-12 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Music In The Other Park",0,21,"20/30-Something South Bay Meetup","2008-06-12 17:30:00","https://www.meetup.com/20-30-Something/"
"Trader Vics",37.40747833251953,-122.12083435058594,"SINGLES POLYNESIAN TIKI DANCE PARTY",6,6,"SF Bay Area Singles Events","2008-06-14 20:00:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"SUMMER Beach Outing, Picnic and Bonfire!!!!",85,85,"!Bay Area Fun Professionals and Friends!","2008-06-14 09:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Beach, Bonfire, and (maybe) Birthday Cake!",0,93,"20/30-Something South Bay Meetup","2008-06-14 09:00:00","https://www.meetup.com/20-30-Something/"
,,,"The San Francisco Night Life 20s-30s June Meeting",0,5,"SF Fun & Outgoing SocialWised","2008-06-14 20:00:00","https://www.meetup.com/socialwisedSF/"
,,,"Need something to do tonight? Lets Play Pool!",0,7,"20/30-Something South Bay Meetup","2008-06-16 19:00:00","https://www.meetup.com/20-30-Something/"
"Memorial Park-Cupertino",37.32292556762695,-122.04659271240234,"Tuesday Volleyball ",8,8,"!Bay Area Fun Professionals and Friends!","2008-06-17 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Bay Area Asian American late 20s/30s Singles Group June Meeting",0,11,"Awesome Asian Americans!!!","2008-06-19 19:30:00","https://www.meetup.com/AsiansAmericans/"
,,,"Music In The Other Park - Augustana",0,46,"20/30-Something South Bay Meetup","2008-06-19 18:00:00","https://www.meetup.com/20-30-Something/"
,,,"Shooting Range - Anyone interested?",0,12,"20/30-Something South Bay Meetup","2008-06-21 09:00:00","https://www.meetup.com/20-30-Something/"
"Memorial Park-Cupertino",37.32292556762695,-122.04659271240234,"Tuesday Volleyball ",4,4,"!Bay Area Fun Professionals and Friends!","2008-06-24 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
"McGovern's Bar",37.56459045410156,-122.3222427368164,"Beer Club @ McGovern's San Mateo",3,3,"Happy Hour Club","2008-06-26 19:00:00","https://www.meetup.com/sfbeerclub/"
"ZEN Lounge  ( renamed from Buddah Lounge)",37.39310836791992,-122.07901763916016,"YOUNG SINGLE PROFESSIONALS PARTY",6,6,"SF Bay Area Singles Events","2008-06-27 20:00:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"No plans for Saturday? Lets head on over to Roaring Camp Railroad!",0,3,"20/30-Something South Bay Meetup","2008-06-28 10:15:00","https://www.meetup.com/20-30-Something/"
,,,"Great America - Why not?",0,7,"20/30-Something South Bay Meetup","2008-06-29 09:00:00","https://www.meetup.com/20-30-Something/"
,,,"Assistant Organizers Orientation over drinks/dinner in SF",5,5,"The San Francisco Singles Social Group (40s & 50s)","2008-06-29 18:00:00","https://www.meetup.com/SFSingles/"
"Memorial Park-Cupertino",37.32292556762695,-122.04659271240234,"Tuesday Volleyball ",2,2,"!Bay Area Fun Professionals and Friends!","2008-07-01 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"We're bowling tonight @ Moonlight Lanes",0,5,"20/30-Something South Bay Meetup","2008-07-02 20:00:00","https://www.meetup.com/20-30-Something/"
"Memorial Park-Cupertino",37.32292556762695,-122.04659271240234,"Tuesday Volleyball ",2,2,"!Bay Area Fun Professionals and Friends!","2008-07-08 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
"Monk's Kettle",37.76487731933594,-122.4228515625,"Beer Club @ Monk's Kettle (+ Amnesia Bar)",10,10,"Happy Hour Club","2008-07-10 19:00:00","https://www.meetup.com/sfbeerclub/"
,,,"Music In The Park - Pete Escovedo",0,30,"20/30-Something South Bay Meetup","2008-07-10 18:00:00","https://www.meetup.com/20-30-Something/"
,,,"Ready to Bounce off the Walls?",0,33,"20/30-Something South Bay Meetup","2008-07-10 19:45:00","https://www.meetup.com/20-30-Something/"
,,,"The San Francisco Night Life 20s-30s July Meetup",0,4,"SF Fun & Outgoing SocialWised","2008-07-12 20:00:00","https://www.meetup.com/socialwisedSF/"
,,,"Start working on your Bi-ceps - We're going KAYAKING!",0,16,"20/30-Something South Bay Meetup","2008-07-12 16:30:00","https://www.meetup.com/20-30-Something/"
"Memorial Park-Cupertino",37.32292556762695,-122.04659271240234,"Tuesday Volleyball ",2,2,"!Bay Area Fun Professionals and Friends!","2008-07-15 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
,,,"Ready to Tonga!  Happy Hour",46,47,"The San Francisco Singles Social Group (40s & 50s)","2008-07-16 17:30:00","https://www.meetup.com/SFSingles/"
,,,"Bay Area Asian American late 20s/30s Singles Group July Meetup",0,13,"Awesome Asian Americans!!!","2008-07-17 19:00:00","https://www.meetup.com/AsiansAmericans/"
,,,"Music In The Park - Flogging Molly",0,74,"20/30-Something South Bay Meetup","2008-07-17 18:00:00","https://www.meetup.com/20-30-Something/"
"Zeitgeist",37.77002716064453,-122.4220962524414,"Weekend Beer Club @ Zeitgeist ",7,7,"Happy Hour Club","2008-07-19 15:00:00","https://www.meetup.com/sfbeerclub/"
,,,"The Dark Knight ",0,32,"20/30-Something South Bay Meetup","2008-07-19 19:00:00","https://www.meetup.com/20-30-Something/"
"Memorial Park-Cupertino",37.32292556762695,-122.04659271240234,"Tuesday Volleyball ",3,3,"!Bay Area Fun Professionals and Friends!","2008-07-22 18:00:00","https://www.meetup.com/BayAreaFunProfessionalsAndFriends/"
"King of Krung Siam",37.39386749267578,-122.07890319824219,"Beer (and Thai Food) Club Mountain View",3,3,"Happy Hour Club","2008-07-23 20:30:00","https://www.meetup.com/sfbeerclub/"
"Waterbar",37.79043960571289,-122.38900756835938,"Cocktails over the water at Waterbar",13,13,"Nob Hill, Russian Hill, North Beach, Pac Heights Happy Hours","2008-07-24 18:00:00","https://www.meetup.com/Nob-Russian-Pac-Heights-Happy-Hour/"
"Blue Chalk Cafe",37.443992614746094,-122.16055297851562,"YOUNG SINGLE PROFESSIONALS PARTY",4,4,"SF Bay Area Singles Events","2008-08-15 20:00:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"Laser Tag - Battle of the Sexes!",0,37,"20/30-Something South Bay Meetup","2008-08-15 20:15:00","https://www.meetup.com/20-30-Something/"
"Viva Los Gatos",37.236328125,-121.9626235961914,"Dinner Concert - Bob Moffitt at Viva! in Los Gatos",18,18,"SF Bay Area Singles Events","2010-10-11 18:30:00","https://www.meetup.com/http-www-sfbayareasingles-com/"
,,,"Singles Gathering at the de Young Museum for Post Impressionists Exhibit 12/5",40,40,"The San Francisco Singles Social Group (40s & 50s)","2010-12-05 13:45:00","https://www.meetup.com/SFSingles/"
"Skylark Bar",37.764713287353516,-122.42160034179688,"Beer Club San Francisco Bar Crawl ! - Part 2",5,5,"Happy Hour Club","2008-07-24 19:30:00","https://www.meetup.com/sfbeerclub/"
